id,time,ele
153,13:23.6,997
153,13:24.6,1007
153,13:25.6,1038
153,13:26.6,1039
153,13:27.6,998
153,13:28.6,1018
153,13:29.6,1013
153,13:30.6,1038
153,13:31.6,1031
153,13:32.6,1036
153,13:33.6,1034
153,13:34.6,1028
153,13:35.6,1019
153,13:36.6,1030
153,13:37.6,1026
153,13:38.6,1044
153,13:39.6,1030
153,13:40.6,1181
153,13:41.6,1356
153,13:42.6,1581
153,13:43.6,1601
153,13:44.6,1605
153,13:45.6,1603
153,13:46.6,1603
153,13:47.6,1603
153,13:48.6,1603
153,13:49.6,1603
153,13:50.6,1603
153,13:51.6,1604
153,13:52.6,1603
153,13:53.6,1603
153,13:54.6,1575
153,13:55.6,1410
153,13:56.6,1301
153,13:57.6,1240
153,13:58.6,1199
153,13:59.6,1160
153,14:00.6,1079
153,14:01.6,1067
153,14:02.6,1065
153,14:03.6,1067
153,14:04.6,1068
153,14:05.6,1069
153,14:06.6,1072
153,14:07.6,1071
153,14:08.6,1071
153,14:09.6,1070
153,14:10.6,1071
153,14:11.6,1071
153,14:12.6,1072
153,14:13.6,1071
153,14:14.6,1070
153,14:15.6,1069
153,14:16.6,1059
153,14:17.6,1058
153,14:18.6,1054
153,14:19.6,1050
153,14:20.6,1042
153,14:21.6,1036
153,14:22.6,1031
153,14:23.6,1029
153,14:24.6,1027
153,14:25.6,1018
153,14:26.6,1013
153,14:27.6,1001
153,14:28.6,999
153,14:29.6,998
153,14:30.6,990
153,14:31.6,981
153,14:32.6,979
153,14:33.6,974
153,14:34.6,974
153,14:35.6,988
153,14:36.6,967
153,14:37.6,963
153,14:38.6,964
153,14:39.6,966
153,14:40.6,973
153,14:41.6,972
153,14:42.6,963
153,14:43.6,964
153,14:44.6,968
153,14:45.6,971
153,14:46.6,974
153,14:47.6,975
153,14:48.6,974
153,14:49.6,974
153,14:50.6,973
153,14:51.6,973
153,14:52.6,976
153,14:53.6,975
153,14:54.6,974
153,14:55.6,976
153,14:56.6,978
153,14:57.6,980
153,14:58.6,1239
153,14:59.6,1443
153,15:00.6,1253
153,15:01.6,1345
153,15:02.6,1599
153,15:03.6,1604
153,15:04.6,1532
153,15:05.6,1514
153,15:06.8,1440
153,15:07.6,1485
153,15:08.6,1539
153,15:09.6,1432
153,15:10.6,1235
153,15:11.6,1143
153,15:12.6,1133
153,15:13.6,1128
153,15:14.6,1127
153,15:15.6,1125
153,15:16.6,1123
153,15:17.6,1122
153,15:18.6,1120
153,15:19.6,1116
153,15:20.6,1105
153,15:21.6,1092
153,15:22.6,1086
153,15:23.6,1080
153,15:24.6,1073
153,15:25.6,1068
153,15:26.6,1056
153,15:27.6,1055
153,15:28.6,1047
153,15:29.6,1043
153,15:30.6,1028
153,15:31.6,1016
153,15:32.6,1005
153,15:33.6,997
153,15:34.6,991
153,15:35.6,1030
153,15:36.6,997
153,15:37.6,1015
153,15:38.6,1020
153,15:39.6,1028
153,15:40.6,1018
153,15:41.6,1015
153,15:42.6,1022
153,15:43.6,1018
153,15:44.6,1036
153,15:45.6,1020
153,15:46.6,1061
153,15:47.6,1028
153,15:48.6,1035
153,15:49.6,1040
153,15:50.6,1023
153,15:51.6,1050
153,15:52.6,1039
153,15:53.6,1221
153,15:54.6,1256
153,15:55.6,1143
153,15:56.6,994
153,15:57.6,1251
153,15:58.6,1547
153,15:59.6,1593
153,16:00.6,1604
153,16:01.6,1606
153,16:02.6,1604
153,16:03.6,1603
153,16:04.6,1604
153,16:05.6,1604
153,16:06.6,1603
153,16:07.6,1587
153,16:08.6,1544
153,16:09.6,1462
153,16:10.6,1458
153,16:11.6,1456
153,16:12.6,1460
153,16:13.6,1460
153,16:14.6,1457
153,16:15.6,1410
153,16:16.6,1357
153,16:17.6,1329
153,16:18.6,1296
153,16:19.6,1263
153,16:20.6,1231
153,16:21.6,1219
153,16:22.6,1212
153,16:23.6,1208
153,16:24.6,1200
153,16:25.6,1168
153,16:26.6,1155
153,16:27.6,1146
153,16:28.6,1139
153,16:29.6,1136
153,16:30.6,1117
153,16:31.6,1102
153,16:32.6,1089
153,16:33.6,1084
153,16:34.6,1080
153,16:35.6,1064
153,16:36.6,1043
153,16:37.9,1031
153,16:38.6,1027
153,16:39.6,1018
153,16:40.6,997
153,16:41.6,1026
153,16:42.6,994
